#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
temple_baron_jewish;Rabín;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
temple_baron_samaritan;Rabín;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
temple_baron_karaite;Rabín;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
temple_baron_slavic_pagan;Šaman;Chamane;Schamane;;Chamán;;;;;;;;;x
temple_baron_slavic_pagan_reformed;Šaman;Chamane;Schamane;;Chamán;;;;;;;;;x
temple_baron_baltic_pagan;Šaman;Chamane;Schamane;;Chamán;;;;;;;;;x
temple_baron_baltic_pagan_reformed;Šaman;Chamane;Schamane;;Chamán;;;;;;;;;x
temple_baron_aztec;Šaman;Chamane;Schamane;;Chamán;;;;;;;;;x
temple_baron_aztec_reformed;Šaman;Chamane;Schamane;;Chamán;;;;;;;;;x
temple_baron_mazdaki;Vahram;Vahram;Vahram;;Vahram;;;;;;;;;x
temple_baron_manichean;Vahram;Vahram;Vahram;;Vahram;;;;;;;;;x
coa_plain_pagan;Plain;Pur;Einfach;;Simple;;;;;;;;;x
coa_plain_indian;Plain;Pur;Einfach;;Simple;;;;;;;;;x
