#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC60010;Velký [Root.GetTitledName] a všichni jeho vazalové konvertovali na katolickou víru!;Son Excellence [Root.Get_le_TitledName] et tous ses vassaux se sont convertis au [GetFrenchCatholicisme] !;[Root.GetHerHisCap]e Lordschaft [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den [catholic.GetName]en Glauben angenommen!;;¡El Gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe [GetSpanishCatolica]!;;;;;;;;;x
EVTDESC60011;Velký [Root.GetTitledName] a všichni jeho vazalové konvertovali na pravoslavnou víru!;Son Excellence [Root.Get_le_TitledName] et tous ses vassaux se sont convertis à l'orthodoxie !;[Root.GetHerHisCap]e Lordschaft [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den orthodoxen Glauben angenommen!;;¡El Gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Ortodoxa!;;;;;;;;;x
EVTDESC60012;Velký [Root.GetTitledName] a všichni jeho vazalové konvertovali na sunnitskou víru!;Son Excellence [Root.Get_le_TitledName] et tous ses vassaux se sont convertis au sunnisme !;[Root.GetHerHisCap]e Lordschaft [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den sunnitischen Glauben angenommen!;;¡El Gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Suní!;;;;;;;;;x
EVTDESC60013;Velký [Root.GetTitledName] a všichni jeho vazalové konvertovali na šíitskou víru!;Son Excellence [Root.Get_le_TitledName] et tous ses vassaux se sont convertis au chiisme !;[Root.GetHerHisCap]e Lordschaft [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den schiitischen Glauben angenommen!;;¡El Gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Chií!;;;;;;;;;x
MONTHLY_PROJECTED_COST;Pøedpokládané mìsíèní náklady: §Y$COST$§!;Estimation du coût mensuel : §Y$COST$§!;Geschätzte monatliche Kosten: §Y$COST$§!;;Coste Mensual Presupuestado: §Y$COST$§!;;;;;;;;;x
YEARLY_PROJECTED_COST;Pøedpokládané roèní náklady: §Y$COST$§!;Estimation du coût annuel : §Y$COST$§!;Geschätzte jährliche Kosten: §Y$COST$§!;;Coste Anual Presupuestado: §Y$COST$§!;;;;;;;;;x
PER_MONTH;§Y$VAL$§!/mìsíc;§Y$VAL$§! / Mois;§Y$VAL$§! / Monat;;§Y$VAL$§! / Mes;;;;;;;;;x
AIREASON_KINGDOMS_DONT_ACCEPT_VASSALAGE;Jsem král!;J'ai un rang royal !;Ich bin ein König!;;¡Soy un Rey!;;;;;;;;;x
ACCEPT;Pøijmout;Accepter;Annehmen;;Aceptar;;;;;;;;;x
DECLINE;Odmítnout;Refuser;Ablehnen;;Declinar;;;;;;;;;x
HAS_LESS_RAISED_TROOP_DAYS;Jednotky povolány ménì než §Y$DAYS$§! dní\n;Troupes levées depuis moins de §Y$DAYS$§! jours\n;Aufgestellte Truppen in den letzten §Y$DAYS$§! Tagen\n;;Tropas reclutadas menos de §Y$DAYS$§! Días\n;;;;;;;;;x
HAS_MORE_RAISED_TROOP_DAYS;Jednotky povolány alespoò §Y$DAYS$§! dní\n;Troupes levées depuis au moins §Y$DAYS$§! jours\n;Aufgestellte Truppen seit mindestens §Y$DAYS$§! Tagen\n;;Tropas reclutadas al menos §Y$DAYS$§! Días\n;;;;;;;;;x
SET_RAISED_TROOP_OPINION;§Y$ACTIVE$'s§! nelibost kvùli svolané hotovosti vùèi §Y$PASSIVE$§! nastavena na §Y$MUCH$§!.\n;Le nombre de jours pendant lesquels §Y$ACTIVE$§! augmente l'opinion sur la levée de troupes contre §Y$PASSIVE$§! passe à §Y$MUCH$§!.\n;§Y$ACTIVE$s§! Missfallen bezüglich der Zwangseinberufung durch §Y$PASSIVE$§! währt noch §Y$MUCH$§! Tage.\n;;Días de leva reclutada §Y$ACTIVE$§! contra §Y$PASSIVE$§! Puesta a §Y$MUCH$§!.\n;;;;;;;;;x
CONTESTED_TITLE;Sporný titul: $TITLE$;Titre contesté : $TITLE$;Umstrittener Titel: $TITLE$;;Título disputado: $TITLE$;;;;;;;;;x
