#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC72056;Trocha zlata naše poddané utiší.;Un peu d'or rendra les serviteurs muets.;Etwas Gold wird die Bediensteten ruhigstellen.;;Algo de oro mantendrá a los siervos a raya.;;;;;;;;;x
VASSAL_RAISE_OPINION_DESC;Kadıch §Y$DAYS$§! dnù, kdy musejí vazalové splnit zvıšenou zemskou hotovost v dùsledku nekøiáckıch bojù, se názor vazalù na tebe sníí o §R-1§!.;Lorsque les troupes d'un vassal sont levées durant une guerre offensive qui n'est pas une croisade, le vassal verra son opinion à votre égard changer de §R-1§! tous les §Y$DAYS$§! jours;Für alle §Y$DAYS$§! Tage, an dem ein Vasallen-Aufgebot während eines offensiven, nicht-Kreuzzugsbedingten Krieges ausgehoben ist, bekommt der Vasall eine Meinung von §R-1§! zu Euch;;Por cada §Y$DAYS$§! días que la leva de un vasallo es reclutada durante una ofensiva que no sea una cruzada, el vasallo obtendrá una opinión §R-1§! de tí.;;;;;;;;;x
WAR_START_YEAR;Poèáteèní rok: $YEAR$;Début du conflit : $YEAR$;Startjahr: $YEAR$;;Año de inicio: $YEAR$;;;;;;;;;x
WAR_START_YEAR_DESC;Tato válka trvá ji $YEARS$ let a $MONTHS$ mìsícù;Cette guerre dure depuis $YEARS$ an(s) et $MONTHS$ mois;Dieser Krieg dauert $YEARS$ Jahr(e) und $MONTHS$ Monat(e) an;;Esta guerra ha durado $YEARS$ año(s) y $MONTHS$ mes(es);;;;;;;;;x
LEVY_PERC_DESC3;$THEM$ rezerv §Y$PERC$%§! z jeho gardy jako zemská hotovost;$THEM$ se réserve §Y$PERC$%§! de chaque type de troupe comme contribution personnelle;$THEM$ behält §Y$PERC$%§! jedes Truppentyps als persönliches Aufgebot zurück;;$THEM$ reserva §Y$PERC$%§! de cada tipo de tropa como recluta personal.;;;;;;;;;x
DYNFAIL_DESC;Se skóre $SCORE$ jsi nedosáhl nièeho vıznamného.;Avec un score de $SCORE$, vous n'avez rien accompli de spécial.;Mit einem Ergebnis von $SCORE$ habt Ihr nichts Bemerkenswertes erreicht. ;;Con una puntuación de $SCORE$, no has conseguido nada notable.;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2B;Od této doby máte všechny potøebné nároky a vaši vazalové proti tomu nebudou nic namítat.;Puisque que nous avons une revendication, nos vassaux ne s'y opposeront pas.;Da wir Anspruch darauf haben, werden unsere Vasallen keinen Einspruch erheben.;;Tenemos derechos sobre ello, nuestros vasallos no pueden objetar nada.;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2C;Díky vaší autoritì zakládající se na titulu §Y$CROWN_TITLE$§!, vaši vazalové nebudou nic namítat.;Grâce à l'autorité de la Couronne dans §Y$CROWN_TITLE$§!, nos vassaux ne s'y opposeront pas.;Dank der Autorität der Krone durch §Y$CROWN_TITLE$§! können unsere Vasallen keinen Einspruch erheben.;;Gracias a la autoridad de la corona en el §Y$CROWN_TITLE$§!, nuestros vasallos no pueden objetar nada.;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2D;§Y[Recipient.GetTitledFirstName]§! je nyní zrádce, proto vazalové nebudou nic namítat.;Puisque [Recipient.Get_le_TitledFirstNameJ] est coupable de trahison, nos vassaux ne s'y opposeront pas.;Da §Y[Recipient.GetTitledFirstName]§! ein Verräter ist, werden unsere Vasallen keinen Einspruch erheben.  ;;§Y[Recipient.GetTitledFirstName]§! es un traidor, nuestros vasallos no pueden objetar nada.;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2E;O doby co se §Y[Recipient.GetTitledFirstName]§! pøiklonil k §Y[Recipient.Religion.GetName]§! a stal se neèistım, nebudou naši vazalové nic namítat.;Puisque [Recipient.Get_le_TitledFirstNameJ] est un[Recipient.Get_E] infidèle, seuls nos vassaux de religion §Y[Recipient.Religion.GetName]§! s'y opposeront (§R$OPINION$§!).;Da §Y[Recipient.GetTitledFirstName]§! ungläubig ist, werden nur Vasallen, die Anhänger des §Y[Recipient.Religion.GetName]en§! Glaubens sind, Einspruch erheben (§R$OPINION$§!).;;§Y[Recipient.GetTitledFirstName]§! es un sucio §Y[Recipient.Religion.GetName]§!, nuestros vasallos no pueden objetar nada.;;;;;;;;;x
