#CODE;ENGLISH;FRENCH;;GERMAN;SPANISH;;;;;;;;;x
LEDGER_SORT_DELAYED;§GKlikni pro seøazení tohoto sloupce§W;§GCliquez pour trier cette colonne§W;;§GZum Sortieren nach dieser Spalte hier klicken§W;§GClic para ordenar usando esta columna§W;;;;;;;;;x
show_true_humility;Prokázal svou neskonalou skromnost;a prouvé son humilité;;Zeigte seine wahre Ergebenheit;Ha mostrado su auténtica humildad;;;;;;;;;x
shown_true_humility;Obdivují naši pokoru;admire notre humilité;;Mag unsere Ergebenheit;Aprecia nuestra humildad;;;;;;;;;x
talent_recognized;Uznal mé schopnosti;reconnaît mon talent;;Erkennt mein Talent;Reconoce mi talento;;;;;;;;;x
slothful_ruler;Zahálèivı panovník;Dirigeant paresseux;;Fauler Herrscher;Gobernante perezoso;;;;;;;;;x
nick_the_lisp_and_lame;šišlavı a ubohı;[This.GetLeLa] Bègue boiteu[This.GetXSe];;[This.Getderdie] Lispelnde und Lahme;el Tartamudo y Cojo;;;;;;;;;x
ANY_WARD_STARTS;Kadı pokoj;N'importe quel garde;;Jeder Bezirk;Cualquier sala;;;;;;;;;x
TITLE_CANNOT_USURP_BEFORE;Tento titul si nelze pøisvojit pøed §Y$DATE$§!;Vous ne pouvez pas usurper ce titre avant le §Y$DATE$§!;;Kann sich diesen Titel nicht vor §Y$DATE$§! aneignen;¡No es posible usurpar este título antes de §Y$DATE$§!;;;;;;;;;x
fair;Pohlednı;Beauté;;Attraktiv;Atractivo;;;;;;;;;x
c_grassland_cheremisa_adj;Kerenìckı;kerjenetsienne;;Kerschenezisch;Kerzhenetsiano;;;;;;;;;x
c_mountain_cheremisa_adj;Cheremišskı;tchérémisse;;Tscheremissisch;Cheremisano;;;;;;;;;x
PROV589;Kerenìc;Kerjenets;;Kerschenez;Kerzhenets;;;;;;;;;x
PROV591;Cheremisa;Tchérémisse;;Tscheremiss;Cheremisa;;;;;;;;;x
black_honor;Porušení feudálních pravidel;Contrevenir aux obligations féodales;;Lehensverpflichtungen nicht erfüllen;Rompiendo las Obligaciones Feudales;;;;;;;;;x
EVTOPTF40020;Porušení feudálních pravidel;Dévoiler le commanditaire des assassins !;;Entlarvt den Auftraggeber des Attentäters!;¡Exponer al empleador de los asesinos!;;;;;;;;;x
EVTTOOLTIP40026;bude odhalen jako vrahùv zamìstnavatel.;sera dévoilé en tant que Commanditaire des assassins.;;wird als ein Auftraggeber von Attentätern entlarvt werden.;será expuesto como empleador de asesinos.;;;;;;;;;x
EVTDESC40026;Nejen e se tvùj zabiják nechal chytit, ale ještì vyzradil, e za celou vìcí stojíš ty. Nyní [From.GetBestName] kadému z [Root.PrimaryTitle.GetFullName] ukazuje dùkazy, e jsi porušili závazek vùèi našemu lennímu pánovi. ;Ils ont mis la main sur notre assassin et celui-ci a osé révéler que nous étions derrière tout cela. [From.Get_only_Le_Title][From.GetBestName] prouve maintenant aux gens [Root.PrimaryTitle.Get_du_RealmFull] que nous avons brisé notre contrat féodal avec un vassal.;;Nicht nur, dass unser Attentäter entlarvt wurde, er hat es auch noch fertig gebracht, uns mit hineinzuziehen, weil wir hinter dem Ganzen stehen würden. Nun legt [From.GetBestName] vor jedem im [Root.PrimaryTitle.GetFullName] Zeugnis ab, dass wir unseren Lehensvertrag mit einem Vasallen gebrochen hätten.;No solo ha descubierto a nuestro asesino, sino que ha conseguido averiguar que estábamos detrás de él. Ahora [From.GetBestName] muestra pruebas a todos en [Root.PrimaryTitle.GetFullName] que evidencian que hemos roto nuestro contrato feudal con un vasallo.;;;;;;;;;x
EVTOPTA40026;To je velice špatná zpráva...;Cela ne me dit rien qui vaille...;;Das sind schlechte Neuigkeiten ...;Son malas noticias...;;;;;;;;;x
deceitful_martial;Zdánlivì bojovnı;Soi-disant brave;;Kriegerisch erscheinend;Aspecto Marcial;;;;;;;;;x
deceitful_stewardship;Pøedstírající správcovské dovednosti;Intendance fourbe;;Verwaltungsfähigkeit vortäuschend;Fingir actuar en su beneficio;;;;;;;;;x
